BOND TYPE                ATOMS                    ENERGY                   
BD*                      C[7]- O[2]               0.88046                  
BD*                      C[7]- O[2]               0.34246                  
BD*                      C[7]- C[5]               0.62636                  
                                                                           
BD*                      C[6]- C[5]               0.63654                  
BD*                      C[6]- H[10]               0.74310                  
BD*                      C[6]- H[11]               0.73245                  
BD*                      C[6]- H[12]               0.71671                  
BD*                      C[5]- O[1]               0.77196                  
BD*                      C[5]- C[8]               0.61564                  
BD*                      C[8]- H[13]               0.71335                  
BD*                      C[8]- H[14]               0.73700                  
BD*                      C[8]- H[15]               0.73365
