BOND TYPE                ATOMS                    ENERGY                   
BD*                      C[7]- O[2]               0.79209                  
BD*                      C[7]- C[5]               0.66030                  
                                                                           
BD*                      C[8]- H[13               0.7298                   
BD*                      C[8]- H[14               0.7567                   
BD*                      C[8]- H[15               0.7180                   
BD*                      C[5]- O[1]               0.88322                  
BD*                      C[5]- O[1]               0.31812                  
BD*                      C[5]- C[6]               0.63254                  
BD*                      C[6]- H[10               0.7231                   
BD*                      C[6]- H[11               0.7033                   
BD*                      C[6]- H[12               0.6809
