BOND TYPE                ATOMS                    R                        TS                       P                        TS-R                     % CHANGE                 P-TS                     % CHANGE                 
RY*                      O[2]                     -0.34731                 -0.64742                 0.11845                  0.42198                  -121.49952492            0.50457                  -130.676991609           
RY*                      O[2]                     0.13234                  -0.64742                 -0.36555                 -0.05767                 -43.5771497658           -0.41855                 -789.716981132           
RY*                      O[2]                     0.1325                   -0.64742                 0.11793                  -0.05783                 -43.6452830189           0.06493                  122.509433962            
RY*                      O[2]                     -0.39939                 -0.64742                 0.11845                  0.01327                  -3.32256691454           0.06545                  123.490566038            
RY*                      O[2]                     0.02941                  -0.64742                 -0.39171                 -0.41553                 -1412.88677321           -0.02143                 5.78751215297            
RY*                      O[2]                     -0.39939                 -0.64742                 0.0646                   0.45239                  -113.270237112           0.43488                  -117.446256887           
RY*                      O[2]                     0.02941                  -0.64742                 0.06767                  0.02359                  80.2108126488            0.43795                  -118.275359188           
RY*                      O[2]                     -0.36001                 -0.64742                 -0.39171                 -0.01027                 2.85269853615            -0.47342                 -579.390527475           
RY*                      O[2]                     0.09111                  -0.64742                 0.0646                   -0.46139                 -506.409834266           -0.01711                 -20.9399094358           
RY*                      O[2]                     -0.36001                 -0.64742                 0.06767                  0.44172                  -122.696591761           -0.01404                 -17.1827193734           
RY*                      O[2]                     0.09111                  -0.64742                 -0.39171                 -0.0094                  -10.3171989902           -0.47496                 -570.522522523           
RY*                      C[5]                     -0.36001                 -0.64742                 0.0646                   0.44326                  -123.124357657           -0.01865                 -22.4024024024           
RY*                      C[5]                     0.09111                  -0.64742                 0.06767                  -0.00786                 -8.62693447481           -0.01558                 -18.7147147147           
RY*                      C[5]                     -0.36134                 -0.64742                 -0.38903                 -0.01531                 4.23700669729            -0.01238                 3.28687110049            
RY*                      C[5]                     0.08889                  -0.64742                 0.06629                  -0.46554                 -523.725953426           0.44294                  -117.599893801           
RY*                      C[5]                     0.08451                  -0.64742                 -0.38903                 -0.46116                 -545.686900958           -0.46843                 -589.962216625           
RY*                      C[5]                     -0.36134                 -0.64742                 0.06629                  0.44074                  -121.973764322           -0.01311                 -16.5113350126           
RY*                      C[5]                     0.08889                  -0.64742                 1.0933                   -0.00949                 -10.6761165485           -0.11962                 -9.86215084259           
RY*                      C[5]                     0.08451                  -0.64742                 1.25949                  -0.00511                 -6.04662170157           0.04657                  3.83949477294            
